,fname,text
0,.online shop change pricelist 1,.online shop change pricelist 1.   Negozio | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello          Listino prezzi pubblico    Listino prezzi pubblico  Ordina per Prezzo di catalogo: decrescente Prezzo di catalogo: crescente Nome - da A a Z Nome - da Z ad A    Nessun prodotto selezionato.    I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
1,.online blog news 1?date begin=2022 11 01+00%3A00%3A00&date end=2022 12 01+00%3A00%3A00,".online blog news 1?date begin=2022 11 01+00%3A00%3A00&date end=2022 12 01+00%3A00%3A00.   News | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello     News Scopri le ultime novità su TAKOBI e Odoo    Odoo Experience  Non è un mistero che il nostro TAKOBI si basi su Odoo, *software open source* che seguiamo fin dal 2008 quando si chiamava ancora OpenERP. Fin d...  TAKOBI Odoo         — novembre 2022         — 206                 visualizzazioni           Chi siamo    Scrivi qui un breve testo per i nuovi visitatori che trovano il tuo sito web    grazie ai tuoi post di blog indicizzati su Google.   Rimani informato : Annulla iscrizione Iscriviti     Partecipa ai nostri canali social.     I nostri Blog News  Etichette  Archivi 2023 giugno1 febbraio1 2022 novembre1     I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
2,.online blog news 1 post odoo 16 tra novita e aggiornamenti 2,".online blog news 1 post odoo 16 tra novita e aggiornamenti 2.   Odoo 16 tra novità e aggiornamenti | TAKOBI Odoo             Home  Servizi  News  Contattaci       Carrello    01 febbraio 2023 Odoo 16 tra novità e aggiornamenti News dal mondo Odoo   Come ogni anno Odoo SA ci stupisce con moltissime novità, e in occasione dell’uscita di Odoo 16 (Ottobre 2022), l'elenco delle migliorie arriva a 486, tra piccoli e grandi cambiamenti.La rinnovata interfaccia, il nuovo gestore documentale, il web site builder e l'e-commerce, importantissimo strumento che ha visto una costante crescita dopo la pandemia (+21% nel 2021 e +8% del 2022) e che oggi si affaccia a nuovi modi di poter gestire le richieste di utenti sempre più diversificati.Ma gli aggiornamenti non finiscono qui infatti sono state inserite una serie di nuove funzionalità nella gestione delle risorse umane, la migliorata usabilità del manufacturing, il magazzino con il controllo tramite barcode che permette di creare etichette GS1 per lotti e numeri di serie ed etichette SSCC GS1, solo per citarne alcune.Tutto questo su un’infrastruttura molto più veloce e performante, grazie ad una velocità di backend 3,7 volte più rapida della versione precedente!Potremmo stare qui a parlare per ore delle opportunità che questo aggiornamento ha portato nel mondo dei software digitali, ma abbiamo deciso di concentrarci su 2 macro argomenti che riteniamo essere tra i più importanti nell’immediato futuro: interfaccia e e-commerce   Interfaccia Odoo 16 Per mettere l’accento sulle novità introdotte da Odoo 16 abbiamo pensato a chi con questo strumento lavora per molte ore e ha bisogno di disporre di velocità, funzionalità ed efficienza immediata.Una delle novità introdotte è la Dark Mode, ovvero la modalità con sfondo scuro apprezzata in modo particolare dai tecnici e da coloro che sono abituati a lavorare in ambienti poco luminosi o in orari notturni.I vantaggi di questa modalità di lavoro sono sicuramente legati a:un minore affaticamento visivo perché la pupilla è più dilatata e non richiede un grande sforzo visivo un sufficiente risparmio sul consumo della batteria Sempre analizzando le opportunità emerse relativamente all’interfaccia, ci ha colpito quella che riguarda modifiche e salvataggio automatico.Nelle versioni precedenti di Odoo c’era una distinzione tra pagina in visualizzazione e pagina in modifica.Per modificare un’anagrafica o per aggiungere una riga ad un preventivo era infatti necessario entrare in modalità “Modifica” (dai dati di analisi dei tasti era emerso che il più cliccato era appunto “Modifica” seguito dal tasto “Salva”).In Odoo 16 questo non è più necessario.Oggi è sufficiente cliccare direttamente sulla riga che si vuole modificare e, con un semplice passaggio del mouse, veder comparire il campo evidenziato come modificabile.Anche il salvataggio è diventato più agile infatti ora è possibile salvare in 3 modi diversi:manualmentecliccando in un’area bianca della paginapassando ad altra paginaIn tutte e 3 queste situazioni, la modifica viene automaticamente salvata.Vantaggi?Riduzione delle tempistiche ma, ancora più importante, minor rischio di perdita accidentale dei dati. E-commerce Come abbiamo anticipato, l’e-commerce di Odoo 16 ha fatto passi avanti già a partire dalla velocità, infatti risulta essere 3,9 volte più rapido rispetto alla versione precedente.Un dato molto rilevante considerando la user experience all’interno di un sito web.Tra le principali novità presenti sull’e-commerce c’è la nuovissima possibilità di immergersi in un’esperienza di acquisto senza precedenti.Le immagini da abbinare ai singoli prodotti possono essere caricate in modo massivo senza più attese ed inserite all’interno di una visualizzazione a griglia che rende la qualità grafica più ingaggiante.Il nostro modo di fare acquisti è diventato sempre più smart anzi possiamo dire smart-phone-friendly ed è per questo che il Mockup è diventato ancora più semplice così come la possibilità di inserire animazioni fluide e interattive nello scroll della pagina.Ma non è tutto, anche dal punto di vista delle scelte dell’utente ora c’è molta più flessibilità ed è stato introdotto il bottone “Sono interessato” che può sostituire “Aggiungi al carrello” indispensabile per tutti quei prodotti o soluzioni che richiedono un contatto diretto con un referente commerciale o per i quali è necessario intavolare una trattativa.E per il noleggio?Odoo 16 ha la risposta! Un’area dedicata, un calendario facilmente consultabile per la scelta del periodo di noleggio e la sua accessibilità, oltre che l’inserimento della funzionalità per essere avvisati tramite e-mail quando il prodotto tornerà disponibile.Per chiudere un quadro quasi perfetto per la realtà di acquisto che stiamo vivendo nel 2023, non poteva non esserci anche uno sguardo ai pagamenti con l’introduzione di una sezione per le transazioni tramite Stripe che permette di ricevere un rimborso immediato nel proprio “borsellino digitale” sulla piattaforma in caso di ripensamenti.Un Universo di opportunità che cavalcano i trend del momento, ascoltano le esigenze degli sviluppatori ma anche quelle dei clienti finali.Se avevi bisogno di tutto questo, ora c’è, chiamaci per avere uno strumento che possa gestire e monitorare il tuo business fin da ora!     I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
3,.online blog news 1?date begin=2023 02 01+00%3A00%3A00&date end=2023 03 01+00%3A00%3A00,".online blog news 1?date begin=2023 02 01+00%3A00%3A00&date end=2023 03 01+00%3A00%3A00.   News | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello     News Scopri le ultime novità su TAKOBI e Odoo    Odoo 16 tra novità e aggiornamenti  Come ogni anno Odoo SA ci stupisce con moltissime novità, e in occasione dell’uscita di Odoo 16 (Ottobre 2022), l'elenco delle migliorie arriva a 48...  Antonella Romanini         — febbraio 2023         — 353                 visualizzazioni           Chi siamo    Scrivi qui un breve testo per i nuovi visitatori che trovano il tuo sito web    grazie ai tuoi post di blog indicizzati su Google.   Rimani informato : Annulla iscrizione Iscriviti     Partecipa ai nostri canali social.     I nostri Blog News  Etichette  Archivi 2023 giugno1 febbraio1 2022 novembre1     I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
4,.online blog 1 feed,".online blog 1 feed.  News https://odoo.takobi.online/blog/1 2023-06-06T09:16:57Z Odoo Days Italia 2023 https://odoo.takobi.online/blog/news-1/post/odoo-days-italia-2023-3 Antonella Romanini Odoo Days Italia 2023  Gli Odoo Days sono un appuntamento a cui non è possibile mancare e anche quest’anno abbiamo deciso di partecipare c... 2023-06-06T09:16:57Z Odoo 16 tra novità e aggiornamenti https://odoo.takobi.online/blog/news-1/post/odoo-16-tra-novita-e-aggiornamenti-2 Antonella Romanini Come ogni anno Odoo SA ci stupisce con moltissime novità, e in occasione dell’uscita di Odoo 16 (Ottobre 2022), l'elenco delle migliorie arriva a 48... 2023-02-01T07:54:36Z Odoo Experience https://odoo.takobi.online/blog/news-1/post/odoo-experience-1 TAKOBI Odoo Non è un mistero che il nostro TAKOBI si basi su Odoo, *software open source* che seguiamo fin dal 2008 quando si chiamava ancora OpenERP. Fin d... 2022-11-11T07:43:02Z "
5,.online shop?order=list price+desc,.online shop?order=list price+desc.   Negozio | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello          Listino prezzi pubblico    Listino prezzi pubblico  Ordinamento - Prezzo di catalogo: decrescente Prezzo di catalogo: decrescente Prezzo di catalogo: crescente Nome - da A a Z Nome - da Z ad A    Nessun prodotto selezionato.    I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
6,.online servizi,".online servizi.   Servizi | Odoo           Home  Servizi  News  Contattaci       Carrello    Formazione Odoo e affiancamento Pur essendo software molto intuitivo, Odoo, grazie alla sua modularità,  gestisce svariati ambiti aziendali e l'utilizzo iniziale può risultare complesso e richiedere un investimento in termini di tempo. Accelera l'adozione di questo fantastico strumento, in modo da sfruttarne appieno le potenzialità, attivando il nostro servizio di formazione e affiancamento Odoo. La consulenza funzionale Odoo, tramite la raccolta requisiti, ti aiuta anche a definire eventuali gap, colmabili con lo sviluppo di nuove funzionalità. Sviluppo Odoo per nuove funzionalità e integrazioni Le possibilità di utilizzo di un software come Odoo sono molteplici e può succedere che sia necessario modificare, estendere o integrare parte delle funzionalità esistenti, per rendere tale strumento ancora più vicino alle tue esigenze aziendali. Affidati alla nostra esperienza per la realizzazione di moduli aggiuntivi, che permettano di gestire in modo efficiente i tuoi processi.    La tua fatturazione Odoo Fatturazione elettronica a norma per l'Italia sulla tua istanza Odoo, tutto in un unico applicativo. Lo scambio di fatture elettroniche col sistema di interscambio avviene tramite codice destinatario (SDI). Tale servizio è applicabile su Odoo Community e Odoo Enterprise. Verifichiamo i moduli eventualmente già presenti sull'istanza del cliente, installiamo i moduli necessari e mancanti, configuriamo Odoo per la gestione della fatturazione, garantiamo gli aggiornamenti normativi. La tua contabilità Odoo Contabilità e fiscalità a norma per l'Italia sulla tua istanza Odoo, tutto in un unico applicativo. Lo scambio di fatture elettroniche col sistema di interscambio avviene tramite codice destinatario (SDI). Tale servizio è applicabile su Odoo Community e Odoo Enterprise. Verifichiamo i moduli eventualmente già presenti sull'istanza del cliente, installiamo i moduli necessari e mancanti, configuriamo Odoo per la gestione della contabilità,  garantiamo gli aggiornamenti normativi.    Aggiornamento Odoo a versioni successive Ogni anno Odoo rilascia una nuova versione e per ottenere sempre il meglio dal tuo software gestionale, la casa madre consiglia la migrazione. Il nostro servizio di migrazione gestisce: dialogo con la casa madre, migrazione dei moduli extra presenti sull'istanza, migrazione dei dati. Consulenza tecnica Odoo L'ecosistema Odoo è molto ampio: Odoo community, Odoo Enterprise, moduli OCA, moduli di terze parti. Per gli sviluppatori e consulenti che muovono i primi passi su Odoo offriamo consulenza tecnica per il corretto approccio agli strumenti e metodologie di implementazione Odoo.   Attivazione istanza su Odoo.sh Per una gestione ""senza pensieri"" della tua istanza dedicata Odoo, consigliamo l'utilizzo dell'infrastruttura Odoo.sh. Odoo si occupa dell'infrastruttura: backup live, monitorata 24/7, ottimizzata per Odoo, ambiente di test. Noi ci occupiamo di installazione e aggiornamenti tramite procedure dedicate e automatizzate. Tu ti occupi del tuo business tramite Odoo, grazie al tempo risparmiato.  Installazione Odoo on premise Hai particolari esigenze? Vuoi avere la tua istanza Odoo su un tuo server cloud gestito da un tuo reparto IT? Tramite le nostre procedure, possiamo renderti disponibile su immagini Docker tutto il necessario per la corretta gestione e aggiornamento della tua istanza Odoo.   PRENOTA UN APPUNTAMENTO     I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
7,.online shop,.online shop.   Negozio | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello          Listino prezzi pubblico    Listino prezzi pubblico  Ordina per Prezzo di catalogo: decrescente Prezzo di catalogo: crescente Nome - da A a Z Nome - da Z ad A    Nessun prodotto selezionato.    I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
8,.online shop cart,.online shop cart.   Shopping Cart | TAKOBI Odoo           Home  Servizi  News  Contattaci       Carrello      Controllo ordine  Indirizzo  Conferma ordine      Il carrello è vuoto.    Continua gli acquisti            Continua gli acquisti    I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   
9,.online blog news 1 post odoo days italia 2023 3,".online blog news 1 post odoo days italia 2023 3.   Odoo Days Italia 2023 | TAKOBI Odoo             Home  Servizi  News  Contattaci       Carrello    06 giugno 2023 Odoo Days Italia 2023 L'innovazione del sistema Odoo   Odoo Days Italia       2023             Gli Odoo Days sono un appuntamento a cui non è possibile mancare e anche quest’anno abbiamo deciso di partecipare come sponsor per far sentire la nostra voce all’interno della community.          Una tra le migliori edizioni di sempre.          Il grande palco dell’UCI Cinema del Bicocca Village a Milano ha ospitato oltre 160 partecipanti, 23 talk e una grande voglia di condividere con entusiasmo tutte le novità dal mondo ERP.           L’evento si è tenuto il 4 e 5 maggio durante i quali è stato possibile ripercorrere, passo dopo passo, l’evoluzione dell’associazione fin dalla sua nascita grazie al coinvolgimento di molte figure legate alla community, aziende, studenti e relatori di respiro internazionale.           Due giorni di networking e confronto, partiti dalle reali necessità e criticità condivise da tutti i partecipanti che, di volta in volta, aiutano nell’evoluzione dell'associazione e di chi la “abita”.       TAKOBI agli Odoo Days     Anche quest’anno abbiamo quindi deciso di investire nella sponsorizzazione dell’evento Odoo days Italia, perchè crediamo sia importante dare un contributo anche economico all’associazione che si occupa di coordinare al meglio lo sviluppo della contabilità italiana di Odoo.          Dopo il Covid questi appuntamenti sono diventati ancora più necessari per permettere di incontrarsi e di consolidare sia partnership lavorative che amicizie nate proprio grazie alla community, andando oltre il momento formativo e permettendoci di ritornare a lavorare insieme a tutto il network, fianco a fianco.           Per questo appuntamento abbiamo pensato che fosse giusto inserire anche un intervento che ci permettesse, in prima persona, di affrontare temi che ci hanno coinvolti da vicino ed è per questo che Mario Riva, Founder e COO di TAKOBI, è salito sul palco degli Odoo Days Italia con il talk “Tips&Tricks, i moduli OCA di cui non puoi fare a meno”.    Il mondo Odoo, un’opportunità per tutti     L’obiettivo principale del talk è stato quello di poter fornire le basi a chi si sta affacciando da poco al mondo Odoo, descrivendo in breve l’ecosistema e facendo una carrellata di moduli che possono essere utili o addirittura indispensabili, nell’utilizzo di Odoo in Italia.          Chi come noi di TAKOBI  lavora su Odoo da ormai 14 anni, tende a dare per scontato aspetti che possono essere invece la chiave fondamentale per la partenza di chi sta muovendo i primi passi.           I moduli che quotidianamente utilizziamo per TAKOBI hanno visto un processo di revisione e riscrittura che è partito dalle basi, dalle anagrafiche, dal supporto per la creazione di preventivo, progetti e tutto è nato dall’input ricevuto dalle esigenze dei nostri clienti.           Odoo è uno strumento complesso per definizione: è infatti un ERP, ma anche una business application, e un framework, pertanto sono molte le opportunità che nascono dal lavoro  su questo fantastico software.      Alessandro Uffreduzzi, socio fondatore di PyTech Srl, durante il suo talk agli Odoo Days Italia ha messo l’accento sulle molteplici modalità in installazione di Odoo permettendoci di andare oltre l’utilizzo degli script, difficili da manutenere, ma tramite l’utilizzo strumenti standard che facilitano le operazioni di installazione, rendendo il progetto legato a principi di riproducibilità.           Alessandro nel suo intervento ha ricordato che “non basta conoscere Odoo, bisogna conoscere la propria infrastruttura” e questo è uno dei principi su cui lavoriamo giornalmente, perchè la formazione è importante, ma il contesto nel quale applicarla rimane il centro del nostro lavoro.     La sicurezza e l’evoluzione verso l’industria 4.0     Sempre in ambito sistemistico, si parla molto di sicurezze quindi diventa importante che anche il nostro ERP abbia le spalle coperte.          Ricco di spunti il talk, da vero nerd, di Ciro Urselli di Apulia Software Srl, sull’utilizzo di Nginx, il server web più popolare al mondo (fonte W3Techs) per la protezione di Odoo.          Ciro, che si definisce l’uomo che non digitalizza i sogni, ma crea solide realtà, ha ricordato come non si debbano assolutamente sottovalutare le vulnerabilità di Odoo e di quanto sia importante proteggere ogni sessione per evitare che abili hacker si infiltrino nei nostri sistemi.           Odoo, soprattutto con la versione 16, sta diventando un ottimo MES che permette di poter far dialogare macchinari e processi con il gestionale, in modo da poter raggiungere i requisiti dell'industria 4.0, aspetto sempre più importante per le realtà di produzione italiana.            A tal proposito è stata molto convincente la soluzione proposta da Emanuele Figliolia che ha parlato di efficienza e automatizzazione della raccolta dati nei macchinari industriali grazie all’utilizzo dell’Industrial IoT strizzando l’occhio in particolare all’industria manifatturiera del nostro paese che ha ancora una scarsissima visibilità sulle condizioni e sui dati dei propri macchinari.     Odoo un supporto per la contabilità aziendale     Nel grande percorso per poter dare supporto alle aziende italiane, Odoo è certamente la soluzione più completa attraverso le varie APP quali CRM, Vendite, Magazzino, Produzione, Progetti, etc.         Con l’integrazione di tutte le funzionalità si può gestire l’intera fatturazione arrivando fino al bilancio, grazie ai moduli di contabilità italiana portati avanti dall’Associazione Odoo Italia.      Daniele Allegretti ci ha spiegato l’importanza della possibilità di avere una redazione del bilancio secondo la riclassificazione UE e il vantaggio dell’esportazione in XBRL che, oltre a facilitare la presentazione del bilancio annuale alla CCIAA, consente di collegare Odoo con vari software di analisi del bilancio fornendo importanti informazioni aziendali riguardo la Gestione della Crisi d'Impresa e all'accesso facilitato al credito bancario.           Molti sono stati gli interventi degli sponsor che hanno permesso di fare una panoramica di tutti gli aspetti importanti per le aziende e le conseguenti opportunità create dall’utilizzo di Odoo, ma anche da casa madre non è mancata un’interessante analisi del tessuto industriale italiano confrontato con lo sviluppo digitale.     Marco Villari e Alessia Frasson (Odoo EMEA Team), hanno illustrato i possibili margini di crescita della digitalizzazione in Italia che vede gli ERP ancora poco utilizzati a causa di una scarsa formazione ICT la quale, di conseguenza, porta ad avere pochi specialisti.           Odoo può davvero fare la differenza in ottica di sviluppo e digitalizzazione, facendo in modo che le potenzialità delle aziende crescano attraverso un supporto concreto e costante ai dipendenti, attraverso strumenti semplici, funzionali e sempre più performanti.           Crescere, innovare, performare. La contabilità è sempre stato il naturale approdo dei vari flussi presenti in Odoo, non sono mancati quindi nuovi obiettivi anticipati da Paolo Gatti, sviluppatore Odoo, che ha illustrato funzionalità ricavate proprio dalle richieste ricevute dai clienti per la fatturazione italiana come ad esempio il DDT, lo split payment e le ritenute.           L’innovazione non si ferma con lo sviluppo digitale, ma arriva fino al nostro paese con il progetto di un ufficio tutto italiano per rendere le relazioni con i clienti sempre più strette instaurando un rapporto di fiducia direttamente nel territorio.     Per noi di TAKOBI questi 2 giorni sono stati nuovamente una grandissima opportunità su più aspetti:conoscere le novità del mondo Odoofar sentire la nostra voce, basata sull’esperienza e sulla progressiva crescita dell’azienda in Italiastringere e consolidare i rapporti con tutti gli attori di questo bellissimo mondo creato da Odoo      Siamo pronti per tornare al lavoro, non ci siamo mai fermati, ma oggi lo sguardo è rivolto verso nuove opportunità, nuove strade da percorrere.         I nostri prodotti e servizi Odoo TAKOBI SaaS  Entra in contatto con noi Contattaci +390287178321 sales@takobi.it  TAKOBI s.r.l.Siamo una start up innovativa nata nel 2018 con l'obiettivo di portare innovazione nella piccole e medie imprese italiane.   Copyright © TAKOBI s.r.l. -  Normativa sulla Privacy -  Condizioni d'uso      Fornito da TAKOBI   "
